State,Year,HomeownersPremiumUSD
New Mexico,2008,703
New Mexico,2009,751
New Mexico,2010,774
New Mexico,2011,793
New Mexico,2012,844
New Mexico,2013,898
New Mexico,2014,937
New Mexico,2015,982
New Mexico,2016,996
New Mexico,2017,1017
New Mexico,2018,1075
New Mexico,2019,1126
New Mexico,2020,1151
New Mexico,2021,1229
New Mexico,2022,1322
New York,2007,936
New York,2008,983
New York,2009,1021
New York,2010,1044
New York,2011,1097
New York,2012,1158
New York,2013,1213
New York,2014,1256
New York,2015,1287
New York,2016,1309
New York,2017,1309
New York,2018,1321
New York,2019,1357
New York,2020,1356
New York,2021,1455
New York,2022,1628
North Carolina,2007,674
North Carolina,2008,683
North Carolina,2009,725
North Carolina,2010,757
North Carolina,2011,869
North Carolina,2012,927
North Carolina,2013,1008
North Carolina,2014,1056
North Carolina,2015,1075
North Carolina,2016,1098
North Carolina,2017,1086
North Carolina,2018,1103
North Carolina,2019,1193
North Carolina,2020,1119
North Carolina,2021,1192
North Carolina,2022,1621
North Dakota,2007,771
North Dakota,2008,808
North Dakota,2009,853
North Dakota,2010,895
North Dakota,2011,969
North Dakota,2012,1038
North Dakota,2013,1078
North Dakota,2014,1136
North Dakota,2015,1200
North Dakota,2016,1239
North Dakota,2017,1253
North Dakota,2018,1293
North Dakota,2019,1236
North Dakota,2020,1230
North Dakota,2021,1256
North Dakota,2022,1325
Ohio,2007,540
Ohio,2008,565
Ohio,2009,613
Ohio,2010,614
Ohio,2011,644
Ohio,2012,721
Ohio,2013,763
Ohio,2014,797
Ohio,2015,819
Ohio,2016,850
Ohio,2017,862
Ohio,2018,874
Ohio,2019,853
Ohio,2020,871
Ohio,2021,920
Ohio,2022,995
Oklahoma,2007,1054
Oklahoma,2008,1048
Oklahoma,2009,1123
Oklahoma,2010,1246
Oklahoma,2011,1386
Oklahoma,2012,1501
Oklahoma,2013,1654
Oklahoma,2014,1772
Oklahoma,2015,1879
Oklahoma,2016,1875
Oklahoma,2017,1885
Oklahoma,2018,1944
Oklahoma,2019,2000
Oklahoma,2020,2040
Oklahoma,2021,2155
Oklahoma,2022,2268
Oregon,2007,496
Oregon,2008,439
Oregon,2009,544
Oregon,2010,535
Oregon,2011,559
Oregon,2012,567
Oregon,2013,568
Oregon,2014,574
Oregon,2015,643
Oregon,2016,659
Oregon,2017,677
Oregon,2018,706
Oregon,2019,727
Oregon,2020,735
Oregon,2021,793
Oregon,2022,893
Pennsylvania,2007,689
Pennsylvania,2008,586
Pennsylvania,2009,694
Pennsylvania,2010,716
Pennsylvania,2011,744
Pennsylvania,2012,804
Pennsylvania,2013,863
Pennsylvania,2014,893
Pennsylvania,2015,913
Pennsylvania,2016,927
Pennsylvania,2017,931
Pennsylvania,2018,943
Pennsylvania,2019,955
Pennsylvania,2020,967
Pennsylvania,2021,1014
Pennsylvania,2022,1120
Rhode Island,2007,950
Rhode Island,2008,897
Rhode Island,2009,1069
Rhode Island,2010,1092
Rhode Island,2011,1139
Rhode Island,2012,1233
Rhode Island,2013,1334
Rhode Island,2014,1398
Rhode Island,2015,1446
Rhode Island,2016,1496
Rhode Island,2017,1551
Rhode Island,2018,1630
Rhode Island,2019,1731
Rhode Island,2020,1788
Rhode Island,2021,1900
Rhode Island,2022,2074
South Carolina,2007,808
South Carolina,2008,789
South Carolina,2009,970
South Carolina,2010,997
South Carolina,2011,1091
South Carolina,2012,1134
South Carolina,2013,1214
South Carolina,2014,1240
South Carolina,2015,1284
South Carolina,2016,1285
South Carolina,2017,1269
South Carolina,2018,1284
South Carolina,2019,1303
South Carolina,2020,1327
South Carolina,2021,1432
South Carolina,2022,1571
South Dakota,2007,618
South Dakota,2008,609
South Dakota,2009,645
South Dakota,2010,678
South Dakota,2011,721
South Dakota,2012,789
South Dakota,2013,915
South Dakota,2014,995
South Dakota,2015,1096
South Dakota,2016,1125
South Dakota,2017,1202
South Dakota,2018,1280
South Dakota,2019,1218
South Dakota,2020,1222
South Dakota,2021,1270
South Dakota,2022,1756
Tennessee,2007,723
Tennessee,2008,692
Tennessee,2009,794
Tennessee,2010,852
Tennessee,2011,915
Tennessee,2012,1008
Tennessee,2013,1090
Tennessee,2014,1139
Tennessee,2015,1149
Tennessee,2016,1185
Tennessee,2017,1196
Tennessee,2018,1232
Tennessee,2019,1259
Tennessee,2020,1296
Tennessee,2021,1368
Tennessee,2022,1492
Texas,2007,1448
Texas,2008,1460
Texas,2009,1511
Texas,2010,1560
Texas,2011,1578
Texas,2012,1661
Texas,2013,1837
Texas,2014,1947
Texas,2015,1991
Texas,2016,1937
Texas,2017,1893
Texas,2018,1955
Texas,2019,1982
Texas,2020,2000
Texas,2021,2146
Texas,2022,2397
Utah,2007,505
Utah,2008,432
Utah,2009,544
Utah,2010,558
Utah,2011,563
Utah,2012,580
Utah,2013,609
Utah,2014,634
Utah,2015,673
Utah,2016,664
Utah,2017,692
Utah,2018,730
Utah,2019,743
Utah,2020,764
Utah,2021,831
Utah,2022,937
Vermont,2007,704
Vermont,2008,650
Vermont,2009,717
Vermont,2010,730
Vermont,2011,748
Vermont,2012,782
Vermont,2013,814
Vermont,2014,844
Vermont,2015,873
Vermont,2016,898
Vermont,2017,918
Vermont,2018,935
Vermont,2019,947
Vermont,2020,984
Vermont,2021,1025
Vermont,2022,1109
Virginia,2007,683
Virginia,2008,604
Virginia,2009,734
Virginia,2010,753
Virginia,2011,782
Virginia,2012,843
Virginia,2013,911
Virginia,2014,946
Virginia,2015,946
Virginia,2016,966
Virginia,2017,999
Virginia,2018,1026
Virginia,2019,1080
Virginia,2020,1107
Virginia,2021,1199
Virginia,2022,1332
Washington,2007,506
Washington,2008,471
Washington,2009,552
Washington,2010,595
Washington,2011,626
Washington,2012,648
Washington,2013,676
Washington,2014,695
Washington,2015,811
Washington,2016,822
Washington,2017,854
Washington,2018,881
Washington,2019,908
Washington,2020,937
Washington,2021,1001
Washington,2022,1151
West Virginia,2007,646
West Virginia,2008,638
West Virginia,2009,671
West Virginia,2010,699
West Virginia,2011,743
West Virginia,2012,771
West Virginia,2013,844
West Virginia,2014,877
West Virginia,2015,907
West Virginia,2016,917
West Virginia,2017,940
West Virginia,2018,970
West Virginia,2019,968
West Virginia,2020,974
West Virginia,2021,1016
West Virginia,2022,1113
Wisconsin,2007,491
Wisconsin,2008,503
Wisconsin,2009,542
Wisconsin,2010,563
Wisconsin,2011,592
Wisconsin,2012,631
Wisconsin,2013,665
Wisconsin,2014,686
Wisconsin,2015,750
Wisconsin,2016,762
Wisconsin,2017,779
Wisconsin,2018,814
Wisconsin,2019,750
Wisconsin,2020,762
Wisconsin,2021,780
Wisconsin,2022,957
Wyoming,2007,656
Wyoming,2008,676
Wyoming,2009,727
Wyoming,2010,748
Wyoming,2011,770
Wyoming,2012,821
Wyoming,2013,952
Wyoming,2014,1021
Wyoming,2015,1088
Wyoming,2016,1120
Wyoming,2017,1156
Wyoming,2018,1187
Wyoming,2019,1244
Wyoming,2020,1308
Wyoming,2021,1432
Wyoming,2022,1596
